epoch,W1[0],W1[1],W1[2],W1[3],W1[4],W1[5],W1[6],W1[7],W1[8],W1[9],W1[10],W1[11],W1[12],W1[13],W1[14],W1[15],W1[16],W1[17],W1[18],W1[19],W2[0],W2[1],W2[2],W2[3],W2[4],W2[5],W2[6],W2[7],W2[8],W2[9]
0,0.5619884393936804,0.031745752821475966,0.3801082162733283,0.26169982045203344,-1.360261150525019,-0.07723889229110194,-1.1138782162550571,-0.5197824217995961,-0.3703124677279831,-0.05039637920025356,-1.3997442076030475,0.4683657060636559,1.1960020052007272,-1.6372756391366758,0.18108646969566822,-1.363890760017669,-0.2100049736009645,0.557947408011488,0.02529377662738158,2.021108104518948,1.6367004417960098,0.27364231668890554,1.050875796126844,-1.2168027419078296,-0.32330905843605146,0.2733404893180579,1.898181903004105,0.6786871504593893,-0.8186260141527049,1.1899031725148006
1,0.5588801895368621,0.031186033667591595,0.37799840414489955,0.2641775841893948,-1.3598341868816528,-0.07780558720646145,-1.1167629722478678,-0.5210723998876855,-0.36869742570755043,-0.05288645621784718,-1.4008576066379046,0.46807839316852606,1.1951554114032832,-1.636549621423932,0.1814499316609103,-1.3640877390168473,-0.2121414765223565,0.5572554219257139,0.026202448733326677,2.020563188703724,1.626662206292327,0.26279558948712767,1.0386539468474931,-1.2261532314603616,-0.3313854482883174,0.2645404867386337,1.8902419910588897,0.6688586671044632,-0.8282060096288533,1.1780556063478909
2,0.5556183333076168,0.030620343246971347,0.3757977310974041,0.26680520480824654,-1.3593734952731962,-0.07838360095334403,-1.1197692021087742,-0.5224077905546681,-0.36697664044353284,-0.055485954816329716,-1.4020263862365092,0.4677845322809103,1.1942606504659627,-1.63576866329201,0.18184722706954054,-1.3642905794453695,-0.21441010521257323,0.5565290095577128,0.027181122898790173,2.0199865572505105,1.6160774432640699,0.25130430756471844,1.025727765130306,-1.2360886103484467,-0.33997562640729906,0.25522445598671584,1.8818599089156598,0.6584492854071453,-0.8383945603173099,1.1655191256940258
3,0.5521956524890284,0.03005102507770611,0.37350336886075225,0.26959325059057465,-1.3588759544590523,-0.07897151280919736,-1.122900495457995,-0.5237884870245799,-0.36514200333990743,-0.058198873020937805,-1.4032540542450265,0.46748473496421344,1.1933138091765296,-1.634926786875166,0.18228277252554448,-1.3644991699717828,-0.21682339803092196,0.5557660060662373,0.028237617065962162,2.0193756579012367,1.6049073005982035,0.23911517662993978,1.0120416011450397,-1.2466591751882328,-0.34912743797809154,0.24535085446953933,1.87300067504792,0.6474103754509635,-0.8492464965304689,1.1522378785908804
4,0.5486064782713472,0.029481191518799157,0.3711137621442962,0.27255172788308835,-1.3583383925947345,-0.07956726786721043,-1.12615865552111,-0.5252132841653173,-0.36318568791491534,-0.061027884872712414,-1.4045438789072058,0.4671799507826097,1.1923108767742447,-1.6340174830559766,0.1827615883864446,-1.3647132325825289,-0.21939482553633194,0.5549643857797788,0.02938052488472132,2.0187279037034322,1.5931136109002675,0.2261734422267728,0.9975390102259579,-1.2579169789772606,-0.358891792202648,0.23487729943446062,1.863628496559856,0.6356916525446145,-0.8608194125751553,1.1381547206996088
5,0.5448477245493919,0.028914891627370445,0.3686292900953748,0.2756892366935953,-1.3577577604637998,-0.08016800905144315,-1.1295427739193566,-0.5266794361202173,-0.3611007606196615,-0.06397360401177957,-1.4058985860252935,0.46687157497827886,1.1912479105147724,-1.633033824486974,0.18328932242087298,-1.3649322593810636,-0.22213854855165924,0.5541224385834848,0.0306191162998478,2.018040799405915,1.5806611195502973,0.21242501651115364,0.9821652791289766,-1.2699139706973692,-0.36932153229670833,0.22376231894831056,1.8537081542222336,0.6232429518546598,-0.8731719985105612,1.12321354158253
6,0.540920308572817,0.028357282688558316,0.3660531424652216,0.2790117256167672,-1.357131409875296,-0.0807698893736224,-1.1330479988074578,-0.5281820932590228,-0.35888210308457785,-0.06703360047113953,-1.4073199086197379,0.4665615789194263,1.1901213019440968,-1.631968704248521,0.18387222399052666,-1.365155432444709,-0.22506895548971956,0.5532390294677004,0.03196309757481835,2.0173121425790406,1.5675207843838612,0.1978198581838132,0.965871353384927,-1.2826990042455437,-0.38046943078668705,0.2119680802405632,1.8432071704197917,0.6100170843658382,-0.8863612326661405,1.107362940438879
7,0.5368310312987165,0.027814777672670373,0.3633924348285491,0.2825207294318186,-1.3564575179118694,-0.08136788099090343,-1.136663956043151,-0.5297136162380505,-0.35652774665933706,-0.07020113889236482,-1.4088079393333133,0.466252659276175,1.188928183532724,-1.6308152696140148,0.18451703025309632,-1.3653815264861733,-0.22819987251458337,0.552313967178171,0.03342214962137899,2.016540328778231,1.5536744509368319,0.18231705529517617,0.9486196465308907,-1.2963133121309138,-0.39238493939329094,0.19946442062840242,1.8320990271129949,0.5959741720642142,-0.9004379832285857,1.0905617363278508
8,0.5325949420996106,0.027295119501025762,0.36065954951903845,0.2862109907236623,-1.355735700807397,-0.08195561466155034,-1.1403728325838909,-0.5312627946051117,-0.3540407138639144,-0.0734636467918469,-1.4103602348854998,0.46594839236741753,1.1876670200319517,-1.629567643249448,0.18523070805928787,-1.3656087984319836,-0.2315433142230426,0.5513485063646405,0.03500513555905724,2.015724793529171,1.5391211546192753,0.1658920746288426,0.9303922126529708,-1.3107840337718526,-0.40510926991195295,0.18623449393970257,1.820367699372511,0.5810878806848524,-0.9154405233991108,1.0727868171833217
9,0.5282380980046913,0.026807305313994324,0.3578736116108654,0.29006744508331184,-1.3549678508474448,-0.08252530733108888,-1.1441472365678043,-0.5328140520094025,-0.3514314101884845,-0.07680100644155927,-1.4119706392615938,0.465653363845505,1.1863384224983176,-1.6282220402303147,0.18601997646833385,-1.3658348762907941,-0.23510763448089264,0.5503459947062254,0.03671884725665215,2.01486661902909,1.5238850914595763,0.1485464979398344,0.9112015846631611,-1.326115531597808,-0.41866842434958346,0.17228220039865166,1.808013668019219,0.5653538569485292,-0.9313855548060471,1.0540436857631061
